ID,Calories Burn,Heart Rate,Age,Gender
108,483.969752,127,54,Male
109,420.1160418,125,42,Female
110,209.8023499,123,18,Male
111,124.8124867,109,57,Female
112,118.3385206,141,47,Female
113,408.4920534,145,58,Female
114,118.1771261,151,43,Male
115,422.7135013,108,58,Female
116,240.0177788,135,23,Male
117,419.3066769,101,49,Female
118,483.7782894,163,39,Female
119,266.54832,144,34,Male
120,104.8550273,122,19,Male
121,302.9548246,103,32,Female
122,283.4472034,118,43,Female
123,239.5529794,173,57,Female
124,410.136624,105,44,Female
125,472.2571261,146,34,Female
126,440.3696002,169,40,Female
127,475.4189059,161,57,Female
128,142.9766065,116,59,Female
129,115.8819824,144,18,Female
130,443.3890037,177,39,Male
131,187.0619427,130,58,Female
132,310.3643974,124,43,Female
133,129.611367,117,30,Male
134,383.2635156,104,25,Female
135,144.7993694,177,52,Female
136,102.0959253,106,55,Female
137,344.712567,108,43,Male
138,237.6189713,137,29,Male
139,192.364994,170,40,Male
140,471.6148446,160,29,Male
141,280.455236,131,36,Female
142,474.2340328,107,26,Female
143,184.4730934,141,46,Female
144,137.7745595,109,22,Male
145,414.4423123,121,44,Female
146,439.2877189,106,44,Male
147,152.3731861,100,28,Male
148,313.1435338,126,52,Male
149,376.4953334,109,26,Female
150,448.9890478,141,35,Male
151,293.0344535,176,56,Male
152,233.122857,105,38,Female
153,151.5991295,167,23,Female
154,246.0202278,104,27,Female
155,295.1513244,178,50,Female
156,119.6067548,170,23,Male
157,418.2618341,177,54,Male
158,419.7180341,151,38,Female
159,237.1214052,154,45,Male
160,488.9969371,175,19,Female
161,485.0860445,133,60,Male
162,185.5255732,111,60,Male
163,165.9993912,162,56,Male
164,312.9282633,176,53,Male
165,310.7992823,168,52,Female
166,194.9421322,102,24,Female
167,491.9044704,153,42,Male
168,334.6332176,136,19,Male
169,458.8810485,133,26,Male
170,221.3818281,175,49,Female
171,325.8452919,129,51,Female
172,271.7984607,159,18,Male
173,218.1117723,131,35,Female
174,372.581496,158,54,Male
175,479.8325592,107,49,Female
176,394.1783809,123,56,Male
177,444.2549306,152,24,Female
178,317.3206578,166,37,Female
179,294.440263,172,20,Female
180,336.160237,145,51,Female
181,179.1368748,126,21,Male
182,241.2112347,166,31,Female
183,468.6631805,114,38,Female
184,370.6934327,144,25,Female
185,235.4808427,130,18,Male
186,497.6911217,155,27,Female
187,461.5139356,102,52,Female
188,358.1260719,165,49,Male
189,420.185107,119,48,Male
190,247.3177278,136,58,Female
191,304.6376978,171,60,Male
192,485.9618233,113,42,Male
193,452.3517684,141,28,Female
194,430.4024765,123,48,Male
195,283.3606445,171,51,Female
196,212.742105,117,53,Female
197,497.8515018,110,25,Female
198,390.1075923,160,31,Male
199,214.5143714,159,34,Male
200,188.6152102,173,43,Male
201,122.6847362,116,22,Male
202,259.0072069,107,40,Male
203,258.7209122,136,24,Male
204,154.7629008,179,59,Female
205,282.6603086,120,53,Female
206,262.1380834,103,25,Female
207,489.7061081,110,24,Male
208,308.560274,105,19,Female
209,303.4398397,146,44,Male
210,242.4507635,104,48,Female
211,224.3531034,159,60,Male
212,387.9751554,142,52,Female
213,240.2690206,136,60,Male
214,324.107922,113,45,Female
215,126.1531014,129,30,Female
216,145.840523,171,35,Female
217,118.6470115,110,25,Male
218,279.5525288,126,59,Female
219,114.0978791,180,44,Male
220,323.1393326,120,38,Male
221,299.4536977,115,41,Male
222,433.6218435,119,50,Female
223,131.4758952,173,25,Female
224,238.3390773,102,25,Male
225,445.9066828,151,53,Female
226,250.6072627,146,28,Female
227,319.6223011,155,31,Female
228,191.1171928,117,48,Female
229,363.3425898,135,55,Male
230,222.4347461,100,39,Female
231,213.921272,143,42,Male
232,194.7017851,179,48,Female
233,254.4716117,151,34,Female
234,331.535759,175,20,Male
235,255.1511815,139,48,Male
236,168.4553504,132,32,Male
237,388.0302215,163,41,Female
238,327.7262024,100,28,Female
239,415.060294,130,54,Female
240,385.1856873,161,59,Female
241,181.9180309,125,60,Female
242,308.1344965,108,33,Male
243,417.0429093,143,39,Male
244,308.5380208,107,57,Male
245,403.6280814,180,21,Female
246,454.6685624,167,40,Male
247,286.4576245,144,41,Female
248,390.9885057,108,44,Female
249,310.270577,148,19,Female
250,362.8638865,164,48,Male
251,322.4907182,116,18,Male
252,441.4491581,159,28,Female
253,159.1317833,122,37,Female
254,493.7813433,104,38,Female
255,216.1592428,120,22,Male
256,326.532619,160,58,Female
257,455.2579295,137,24,Male
258,460.995065,178,60,Male
259,459.8698899,103,59,Female
260,440.2043132,180,40,Male
261,278.1967269,132,57,Male
262,161.6621582,120,29,Female
263,496.1194256,152,35,Female
264,312.1965692,117,21,Female
265,289.5039568,102,19,Female
266,451.3558735,158,31,Male
267,205.4822903,151,35,Male
268,228.9977038,168,48,Female
269,412.8717973,166,51,Male
270,125.3188633,140,60,Male
271,332.2157903,107,18,Female
272,170.3770551,112,54,Female
273,480.8794249,176,35,Male
274,458.836108,141,19,Female
275,152.0253587,138,40,Male
276,202.6962407,170,57,Male
277,340.7412607,159,45,Male
278,181.6505208,113,58,Male
279,296.237181,159,55,Female
280,414.0052653,126,43,Male
281,365.7079677,169,25,Female
282,348.0929836,177,31,Female
283,456.5835377,138,22,Male
284,215.5900112,108,30,Male
285,249.0236668,154,59,Female
286,278.6110562,123,49,Female
287,265.2251986,176,21,Male
288,455.903897,163,23,Male
289,422.8064437,103,52,Male
290,446.3728861,123,52,Female
291,428.4618685,139,41,Male
292,166.7512424,179,30,Male
293,160.8038414,143,26,Female
294,310.7268313,173,50,Female
295,184.5605075,157,44,Male
296,471.515755,112,19,Female
297,490.9832922,162,22,Male
298,216.548184,111,21,Male
299,330.849155,133,30,Female
300,339.3830995,137,42,Female
301,151.461179,149,36,Female
302,306.5809613,122,30,Male
303,254.7415239,170,56,Female
304,285.6125742,135,37,Male
305,413.4908856,119,31,Female
306,483.5791915,126,41,Female
307,405.6742994,161,53,Female
308,180.1020082,108,43,Female
309,491.1956175,179,19,Female
310,231.7764398,175,35,Male
311,120.2328577,172,23,Male
312,178.690855,157,47,Male
313,421.9922433,170,25,Male
314,231.7819505,107,53,Female
315,481.3714627,167,45,Female
316,248.6070358,117,60,Female
317,148.6082488,110,48,Female
318,401.2463231,116,36,Female
319,245.3714936,125,26,Female
320,142.8070474,180,58,Male
321,224.3930595,174,34,Female
322,466.0550527,101,20,Female
323,181.6099815,115,49,Female
324,305.3195624,159,46,Male
325,423.0853574,180,58,Female
326,399.9880015,115,19,Male
327,400.428286,170,50,Male
328,458.8880881,148,42,Female
329,329.3561362,116,43,Male
330,261.2450959,178,19,Male
331,158.1545606,156,44,Male
332,123.0468662,180,22,Male
333,494.2516457,103,26,Male
334,184.3670115,150,46,Male
335,411.6674071,165,26,Male
336,355.2367304,143,59,Male
337,403.5083872,107,21,Male
338,300.5238837,156,58,Female
339,216.4842087,176,29,Male
340,288.0463141,115,57,Female
341,247.0820312,145,29,Male
342,136.3502737,117,24,Male
343,450.0478028,175,24,Female
344,204.9536094,144,55,Female
345,184.6779309,139,26,Female
346,208.9533031,115,59,Female
347,187.1126847,148,23,Male
348,463.0966938,170,20,Female
349,298.5443919,115,42,Male
350,489.1441813,168,28,Male
351,115.8031822,106,48,Female
352,260.8174077,125,38,Female
353,410.8112718,147,55,Male
354,419.2784609,129,31,Male
355,113.1786548,133,30,Male
356,291.7262097,107,37,Male
357,254.0620735,160,59,Male
358,180.535173,114,33,Female
359,456.4332913,155,43,Male
360,469.0207909,153,32,Male
361,247.1174833,137,25,Female
362,147.2493424,131,47,Male
363,187.5142295,165,24,Male
364,168.3402704,144,21,Female
365,240.6076274,128,37,Female
366,296.3476865,147,26,Male
367,324.8394184,114,43,Female
368,349.9257365,136,36,Female
369,408.2691002,136,28,Female
370,468.2812717,136,38,Female
371,216.1510908,161,36,Male
372,287.3193103,158,42,Male
373,144.6462718,129,48,Male
374,234.385722,168,56,Male
375,134.2520968,118,21,Female
376,477.9962144,132,59,Female
377,288.9131064,141,38,Female
378,158.1282137,118,37,Female
379,235.9513724,145,42,Female
380,459.9240829,177,18,Male
381,118.7328617,126,25,Male
382,201.3066614,157,38,Female
383,369.0942459,171,58,Male
384,451.2216375,162,30,Female
385,426.8229159,120,57,Male
386,366.9700625,167,18,Female
387,316.071905,133,50,Male
388,274.9951649,134,30,Female
389,347.6299577,149,47,Male
390,387.15983,104,52,Female
391,280.2025657,174,25,Male
392,214.0563329,166,33,Male
393,285.3950804,112,18,Male
394,215.7590068,175,41,Male
395,207.7196189,162,35,Female
396,271.0046608,154,45,Female
397,253.0751371,106,18,Female
398,190.3247056,156,42,Male
399,492.430158,171,43,Female
400,192.0501081,158,34,Female
401,208.2925551,133,51,Male
402,477.6755303,104,41,Male
403,205.1652999,126,38,Male
404,170.0462889,118,52,Female
405,178.4252134,123,46,Female
406,252.2319844,126,37,Male
407,340.5840371,126,45,Male
408,127.425054,114,50,Male
409,107.3080578,112,29,Male
410,475.29051,101,40,Male
411,497.927929,144,35,Female
412,340.5581323,161,21,Male
413,456.4650424,173,32,Female
414,167.3702841,148,50,Female
415,454.4133889,104,43,Female
416,237.0676596,126,20,Female
417,393.6860283,111,38,Female
418,319.5863841,111,56,Male
419,120.4914923,133,32,Female
420,136.5715819,139,19,Male
421,158.8514844,115,58,Male
422,374.7373633,179,57,Male
423,322.9729779,111,51,Male
424,368.0326813,151,59,Male
425,358.3466383,147,49,Female
426,160.9690713,144,18,Female
427,433.3784083,138,53,Male
428,416.4097674,119,20,Male
429,464.8525488,178,39,Female
430,455.2976662,171,20,Female
431,208.5658383,115,60,Male
432,406.3145746,107,55,Male
433,353.6219754,105,40,Female
434,387.8853538,110,26,Male
435,414.1461206,161,33,Male
436,188.3104409,130,35,Male
437,490.264163,150,45,Male
438,375.5726389,107,53,Male
439,317.5683017,165,30,Female
440,172.7404259,142,26,Female
441,424.5709976,116,37,Female
442,494.110048,126,40,Female
443,235.5968701,141,40,Female
444,464.249638,163,35,Female
445,151.9028056,143,56,Female
446,231.8466207,173,46,Male
447,211.5690332,113,19,Female
448,432.5814861,174,52,Male
449,185.6912255,108,26,Female
450,130.6716919,175,34,Female
451,405.7350129,121,37,Male
452,429.2259457,156,49,Male
453,457.7859377,152,60,Male
454,234.6971393,109,31,Female
455,325.583073,121,52,Male
456,485.9187709,123,53,Female
457,356.1919797,131,29,Male
458,205.3105086,170,25,Male
459,402.8856762,166,35,Male
460,117.4860917,139,58,Male
461,286.0712716,176,36,Male
462,356.008851,139,28,Female
463,443.5633539,140,28,Male
464,284.6317117,173,57,Male
465,230.8768453,112,54,Female
466,174.2992364,158,48,Male
467,267.3769996,108,55,Male
468,286.1914351,163,36,Male
469,234.0054001,172,38,Female
470,362.3959666,121,54,Male
471,239.320521,135,32,Female
472,210.2778187,161,22,Male
473,293.207588,161,27,Male
474,244.3192902,172,32,Female
475,403.7854978,125,36,Male
476,369.5554399,105,55,Female
477,393.9093282,118,19,Female
478,176.0152056,169,57,Female
479,365.064624,157,35,Female
480,237.0104572,129,43,Female
481,448.1459669,148,51,Male
482,421.7743341,129,42,Male
483,112.4696283,165,38,Female
484,497.4458291,129,47,Female
485,118.1249583,161,20,Female
486,389.2848722,100,27,Male
487,183.8333267,180,47,Female
488,460.3334213,110,57,Male
489,322.2219591,170,41,Male
490,324.0535777,164,43,Female
491,319.0717729,103,24,Male
492,272.1037386,100,50,Male
493,345.0829471,160,23,Female
494,340.6127521,134,42,Male
495,170.4308566,173,20,Female
496,257.008504,156,30,Female
497,190.6263787,126,56,Female
498,187.0339816,140,36,Female
499,314.1332223,137,58,Female
500,468.1328403,139,38,Male
501,404.9578894,100,58,Female
502,418.8612354,113,20,Female
503,197.2051516,160,18,Male
504,278.726369,115,19,Female
505,127.7115905,163,54,Female
506,410.539158,171,29,Male
507,182.6056498,138,59,Male
508,131.3426149,172,51,Female
509,463.417436,134,56,Female
510,471.5948003,136,23,Male
511,257.1698498,178,58,Male
512,339.9604748,122,19,Male
513,244.0539757,178,59,Male
514,257.5737804,112,48,Male
515,273.2742054,110,29,Female
516,352.6037483,163,60,Female
517,173.2961994,128,33,Female
518,129.7115151,169,23,Female
519,127.3315282,173,41,Male
520,261.7598554,179,41,Male
521,471.9837407,110,37,Female
522,459.6147362,176,40,Female
523,393.4636436,149,19,Male
524,101.9456791,169,59,Male
525,409.108234,125,19,Male
526,341.1224165,176,58,Male
527,378.2517597,116,56,Female
528,159.8061431,100,49,Male
529,129.2620494,101,57,Male
530,107.9959272,138,25,Female
531,496.0086544,131,52,Female
532,187.2563534,137,44,Male
533,368.3936582,106,20,Male
534,183.7913774,104,26,Male
535,306.0503365,136,52,Female
536,265.3289125,107,34,Female
537,431.6148496,118,25,Female
538,496.7950935,146,56,Female
539,436.2065549,118,27,Male
540,328.7430989,124,60,Male
541,104.5275351,106,42,Male
542,456.356002,123,23,Male
543,183.0805073,161,41,Male
544,259.7044384,148,51,Female
545,305.7963564,125,47,Male
546,475.6462773,140,50,Female
547,277.5152065,102,44,Female
548,233.3755865,161,59,Male
549,412.9835672,114,59,Female
550,261.7210024,119,51,Male
551,248.1474431,109,42,Female
552,160.1302124,179,21,Male
553,463.8339627,171,37,Male
554,138.6453662,175,45,Male
555,123.4365622,137,43,Female
556,218.6866969,171,26,Male
557,248.9448197,160,37,Male
558,271.5022227,118,26,Male
559,342.1363484,162,57,Male
560,390.6000338,112,58,Female
561,297.5506098,157,49,Male
562,301.09828,126,58,Male
563,273.8540031,178,49,Male
564,441.5993911,105,47,Male
565,249.9648609,114,24,Female
566,427.5970686,118,34,Female
567,199.8486339,177,21,Male
568,208.2976469,101,60,Male
569,496.5307403,113,55,Female
570,173.1337536,101,52,Female
571,351.436715,147,32,Female
572,444.539486,141,49,Male
573,485.5292029,148,59,Female
574,229.3349966,147,41,Female
575,415.8832712,156,47,Male
576,307.8165088,139,41,Female
577,443.9359189,152,38,Male
578,291.7868938,135,45,Female
579,394.3712058,108,31,Female
580,270.9413785,117,22,Male
581,280.462558,163,24,Male
582,461.165023,133,51,Male
583,366.6164127,103,32,Female
584,258.5768409,123,31,Female
585,358.9394395,137,49,Male
586,338.9693345,123,33,Male
587,134.6387889,110,53,Male
588,418.9604363,122,52,Female
589,196.2587191,152,33,Female
590,156.5221355,139,39,Female
591,313.1700696,108,34,Male
592,485.1610645,174,35,Male
593,227.1652651,162,59,Male
594,413.1440996,125,20,Female
595,487.4544519,153,47,Female
596,197.7266191,176,35,Female
597,406.2170982,103,23,Male
598,396.2769424,115,19,Female
599,275.3862652,137,47,Male
600,194.0064618,169,25,Male
601,160.2910292,128,60,Male
602,406.7678732,166,53,Female
603,392.5873554,120,54,Female
604,479.347641,135,21,Male
605,348.1014776,161,44,Female
606,222.3616463,137,27,Female
607,155.2710119,163,27,Male
608,473.7248772,123,34,Male
609,457.6141243,146,48,Female
610,445.6552717,132,41,Female
611,242.3973997,141,45,Female
612,179.5913281,164,53,Male
613,208.1112056,144,29,Male
614,461.2211577,114,55,Male
615,388.0816449,169,41,Female
616,120.0435369,135,21,Female
617,467.3351155,116,59,Male
618,220.7655037,115,40,Male
619,456.3488269,134,33,Female
620,277.9297144,176,29,Female
621,136.1870591,165,24,Male
622,285.9950891,103,55,Male
623,337.9455217,116,52,Female
624,302.1526105,112,49,Female
625,176.6063354,157,50,Female
626,435.4859438,156,24,Female
627,275.7359378,166,34,Female
628,295.7742984,134,29,Female
629,488.2116763,141,58,Female
630,294.684948,117,27,Male
631,430.4799263,159,22,Male
632,417.2725346,134,59,Male
633,155.5391732,169,46,Male
634,357.0550679,176,35,Male
635,330.039779,108,46,Male
636,481.4752927,141,38,Female
637,165.4901266,128,42,Male
638,429.9462911,172,28,Male
639,149.6297614,103,44,Male
640,490.6705774,169,25,Female
641,343.1199338,104,58,Female
642,196.6262674,149,48,Female
643,386.4257478,152,43,Male
644,152.2425792,159,50,Male
645,368.3674191,180,59,Female
646,476.9980336,176,43,Male
647,209.3801683,148,21,Female
648,312.2388838,148,24,Female
649,367.6615904,157,46,Male
650,401.4889825,148,35,Male
651,346.4060753,148,40,Male
652,442.4770175,164,28,Male
653,216.8162508,133,53,Female
654,296.0790753,157,51,Female
655,309.285072,152,34,Female
656,494.4202607,172,56,Female
657,393.9742021,153,57,Male
658,198.9756699,152,52,Female
659,156.8540686,168,54,Male
660,368.9004735,159,58,Female
661,182.2605262,165,21,Male
662,446.9897784,111,39,Male
663,366.2249759,107,29,Male
664,345.1738141,153,20,Female
665,340.303388,102,34,Female
666,106.4433503,101,31,Male
667,479.4611205,144,27,Female
668,108.6442605,153,36,Female
669,268.6979237,108,60,Male
670,215.0907995,112,29,Male
671,354.0319982,157,18,Male
672,451.5578498,120,60,Male
673,397.469511,177,41,Male
674,373.3599113,118,20,Male
675,296.7307886,169,43,Male
676,331.1035708,160,33,Male
677,489.5289243,104,25,Female
678,299.9417953,170,20,Female
679,453.2201934,156,23,Male
680,494.8621471,148,51,Male
681,119.8779034,103,43,Male
682,369.2815314,146,58,Female
683,393.1365623,170,48,Female
684,448.5944132,107,53,Male
685,457.7535505,148,41,Male
686,273.0366021,169,24,Male
687,102.8454435,114,42,Female
688,102.6676832,113,26,Female
689,132.4905861,180,53,Female
690,475.0789018,152,60,Male
691,218.4345121,180,60,Male
692,433.9225755,135,34,Female
693,350.4933108,152,42,Female
694,386.643238,119,56,Male
695,377.6529715,133,54,Male
696,456.7539929,112,53,Male
697,312.188039,133,59,Female
698,401.876739,101,58,Female
699,389.1195405,123,50,Male
700,334.9984846,133,50,Female
701,323.4321065,138,41,Female
702,446.3133391,126,40,Female
703,232.9297726,113,21,Male
704,167.2888192,129,50,Female
705,219.8190816,172,50,Male
706,299.8234759,173,49,Female
707,301.410042,151,39,Male
708,148.2437634,163,48,Female
709,343.9640531,166,50,Female
710,221.4891477,103,36,Male
711,162.3562277,148,35,Male
712,189.9550455,138,58,Female
713,313.720441,131,49,Female
714,432.9879844,174,27,Male
715,113.4311512,173,40,Male
716,224.5541446,177,53,Male
717,260.3474969,120,24,Female
718,490.5096969,106,55,Male
719,113.4890864,152,58,Female
720,238.7047849,171,23,Female
721,116.9130543,139,59,Female
722,494.2712336,177,49,Male
723,405.6150029,158,43,Female
724,415.7631086,124,57,Male
725,443.1748657,119,46,Male
726,246.4314737,179,48,Female
727,245.2748082,151,30,Female
728,124.3632992,107,38,Male
729,328.5830945,106,53,Female
730,283.4187201,118,42,Male
731,259.6367696,114,26,Male
732,342.8877113,160,44,Female
733,472.427866,159,53,Male
734,243.8344686,105,60,Female
735,123.631147,119,49,Female
736,473.6423932,128,26,Male
737,435.3131376,163,37,Female
738,390.4958228,141,57,Male
739,498.0578514,121,34,Male
740,443.6820677,163,52,Female
741,404.2296632,154,36,Male
742,160.9989652,109,45,Female
743,405.8400528,180,20,Female
744,236.6634862,134,32,Female
745,305.7134946,143,50,Male
746,158.6061856,163,21,Male
747,183.265881,105,56,Male
748,396.1938119,105,41,Female
749,195.1433728,111,34,Male
750,264.4952955,106,59,Male
751,384.2900691,172,21,Female
752,434.4348526,144,43,Female
753,338.4604877,152,49,Male
754,465.5977867,167,43,Female
755,106.5164492,134,54,Female
756,342.7167344,129,21,Male
757,132.2370805,161,58,Male
758,153.1517219,134,19,Female
759,436.9822546,156,34,Female
760,139.3461872,146,60,Female
761,298.4747285,174,20,Female
762,141.7876269,118,28,Female
763,421.2605123,148,56,Male
764,426.9735908,103,39,Male
765,126.8243443,151,42,Male
766,390.0771505,148,22,Female
767,223.7913115,154,55,Male
768,262.7924783,149,59,Male
769,339.2596803,144,46,Female
770,198.3333177,167,36,Male
771,122.175859,154,54,Male
772,339.6366481,150,56,Female
773,481.3547785,101,44,Female
774,204.3039008,146,37,Male
775,224.3922235,141,54,Female
776,339.3398319,125,30,Male
777,433.213999,178,29,Male
778,147.9409531,148,50,Male
779,288.3752684,125,54,Female
780,169.1729085,106,37,Female
781,288.3727125,171,43,Female
782,104.7105399,153,37,Male
783,272.924756,160,46,Male
784,207.9720971,148,43,Female
785,381.0539419,103,42,Female
786,145.4272497,180,56,Male
787,109.3417457,164,25,Female
788,314.5997773,158,20,Male
789,439.1071332,162,57,Female
790,327.7625568,111,32,Male
791,298.6637251,104,43,Male
792,264.6853643,179,51,Male
793,146.0460356,115,34,Female
794,277.8503669,149,23,Female
795,393.4616476,106,23,Female
796,168.81148,106,23,Female
797,166.4929856,129,56,Female
798,458.4827377,176,21,Male
799,167.8359708,169,58,Male
800,300.926652,149,18,Female
801,305.1315214,172,51,Male
802,338.6593868,147,45,Male
803,313.3578849,112,38,Male
804,435.904466,108,26,Male
805,198.8614153,117,53,Female
806,407.0392255,115,26,Female
807,161.2751282,157,50,Male
808,133.3609136,144,33,Male
809,443.8741518,120,45,Female
810,104.4865029,180,53,Female
811,331.6546889,137,22,Female
812,350.0819478,113,56,Male
813,497.1074685,172,20,Male
814,246.116311,123,18,Female
815,205.5428236,139,39,Male
816,107.7727187,105,36,Female
817,356.3657632,122,31,Male
818,279.7525876,117,31,Male
819,352.9912474,125,48,Female
820,440.6746367,102,41,Male
821,358.9232923,168,60,Female
822,315.1098437,170,32,Female
823,223.9818966,175,53,Male
824,212.808226,113,24,Male
825,250.6913712,105,28,Male
826,305.8887684,161,41,Male
827,349.6416414,102,45,Male
828,298.7697469,138,46,Male
829,289.2051718,109,27,Male
830,398.0513164,136,60,Male
831,270.1047476,139,47,Male
832,291.5200879,110,28,Female
833,155.9238308,100,24,Male
834,136.7732452,151,39,Male
835,155.9653185,111,23,Female
836,156.0659293,172,23,Male
837,341.4907645,172,50,Male
838,126.0064904,105,24,Female
839,487.7179556,129,18,Male
840,265.9936322,158,47,Female
841,260.4144157,122,37,Female
842,266.086394,148,60,Female
843,361.8118776,144,47,Male
844,134.7168267,141,20,Female
845,282.2510047,178,32,Male
846,267.586877,131,57,Female
847,240.9749707,156,51,Male
848,499.0092086,122,42,Male
849,260.1289784,171,31,Male
850,260.1806305,129,19,Female
851,319.0068672,105,34,Female
852,477.7139892,148,38,Female
853,418.167066,116,59,Female
854,139.4602474,174,20,Female
855,391.3887273,106,38,Male
856,380.787887,143,29,Female
857,402.1127623,150,51,Female
858,329.0753192,155,26,Male
859,256.274608,167,23,Male
860,185.4503509,161,25,Male
861,217.1481696,162,24,Male
862,372.8505784,171,44,Male
863,186.7721477,102,47,Female
864,372.3081067,125,40,Female
865,343.4785538,158,32,Male
866,330.5417311,139,53,Female
867,465.258229,147,25,Male
868,472.4686178,172,54,Female
869,323.1310121,117,47,Female
870,180.7807528,146,25,Female
871,135.3739579,142,41,Male
872,100.8171249,143,42,Female
873,462.8386827,162,18,Female
874,256.7752865,158,37,Female
875,404.8349139,170,22,Male
876,165.2359521,114,59,Female
877,173.1615547,151,26,Male
878,403.7873481,105,57,Male
879,465.9585907,126,59,Male
880,324.3945641,155,39,Female
881,443.7914416,122,50,Female
882,301.740186,166,50,Male
883,237.2091041,101,38,Male
884,201.105826,166,20,Female
885,246.6226109,126,42,Female
886,458.1424681,175,21,Female
887,102.0398982,167,26,Male
888,423.9541624,121,59,Male
889,315.7532393,112,31,Male
890,289.8018695,166,33,Male
891,410.9064588,155,22,Female
892,126.1210925,130,56,Female
893,286.6909708,148,21,Female
894,465.961073,171,43,Female
895,309.0129545,145,58,Female
896,390.3935847,138,54,Male
897,342.548678,150,41,Male
898,106.4132817,174,43,Female
899,238.7262061,123,37,Male
900,491.9093239,176,26,Female
901,433.6209401,120,26,Female
902,216.3115831,100,31,Male
903,440.386177,119,27,Male
904,198.2423623,154,45,Male
905,299.9412377,109,58,Female
906,444.5400257,102,55,Male
907,434.2419322,148,45,Female
908,135.4414264,139,25,Male
909,273.2186518,103,26,Male
910,496.3403955,165,36,Male
911,179.8074075,175,31,Female
912,104.7045272,125,49,Female
913,433.39958,104,51,Male
914,269.4295034,130,47,Female
915,164.6719231,132,44,Female
916,239.9908334,137,56,Male
917,325.2010868,114,50,Female
918,142.9809507,101,24,Female
919,310.4636727,180,23,Female
920,395.432049,153,25,Male
921,332.9229849,111,30,Female
922,431.8649125,107,29,Female
923,375.897929,175,21,Female
924,190.2642051,104,19,Male
925,234.815832,100,55,Female
926,223.4818253,137,22,Male
927,334.2387586,163,54,Female
928,233.7292846,119,25,Female
929,299.1610069,153,49,Male
930,166.4654607,111,45,Male
931,188.8214197,106,38,Female
932,321.4566737,132,18,Female
933,383.1420432,149,19,Male
934,342.1483533,171,35,Female
935,179.3767193,111,20,Female
936,102.1511164,128,41,Female
937,384.8479959,152,30,Male
