id,exercise,duration,calories_burnt,exercise_intensity
85,Exercise 1,24,364.7305563,1
86,Exercise 3,55,218.439501,2
87,Exercise 7,46,120.509324,7
88,Exercise 4,42,194.3341766,4
89,Exercise 9,51,169.705561,6
90,Exercise 6,52,178.0728415,7
91,Exercise 9,32,299.8187299,8
92,Exercise 10,40,443.5856836,5
93,Exercise 4,22,271.0956442,3
94,Exercise 6,36,413.8854243,5
95,Exercise 9,27,176.433223,8
96,Exercise 10,56,147.1726527,6
97,Exercise 3,23,408.4146909,7
98,Exercise 9,52,168.0208161,5
99,Exercise 2,46,267.576432,7
100,Exercise 3,38,366.0372045,10
101,Exercise 5,57,309.7996685,1
102,Exercise 3,50,377.2902571,8
103,Exercise 6,20,306.2712633,3
104,Exercise 9,30,234.0254065,1
105,Exercise 4,46,329.4466802,9
106,Exercise 6,51,442.5630513,7
107,Exercise 3,28,399.4897422,7
108,Exercise 10,51,483.969752,4
109,Exercise 5,58,420.1160418,5
110,Exercise 4,39,209.8023499,8
111,Exercise 4,60,124.8124867,8
112,Exercise 7,38,118.3385206,6
113,Exercise 8,22,408.4920534,5
114,Exercise 7,22,118.1771261,5
115,Exercise 1,22,422.7135013,2
116,Exercise 7,42,240.0177788,7
117,Exercise 9,41,419.3066769,5
118,Exercise 10,26,483.7782894,4
119,Exercise 7,52,266.54832,1
120,Exercise 2,39,104.8550273,2
121,Exercise 2,37,302.9548246,4
122,Exercise 5,54,283.4472034,7
123,Exercise 10,33,239.5529794,7
124,Exercise 5,29,410.136624,2
125,Exercise 1,50,472.2571261,10
126,Exercise 9,44,440.3696002,4
127,Exercise 6,36,475.4189059,2
128,Exercise 10,25,142.9766065,9
129,Exercise 3,50,115.8819824,4
130,Exercise 5,41,443.3890037,9
131,Exercise 5,27,187.0619427,7
132,Exercise 6,23,310.3643974,3
133,Exercise 7,28,129.611367,2
134,Exercise 6,28,383.2635156,10
135,Exercise 4,53,144.7993694,1
136,Exercise 5,50,102.0959253,6
137,Exercise 10,59,344.712567,1
138,Exercise 4,23,237.6189713,1
139,Exercise 10,31,192.364994,2
140,Exercise 9,58,471.6148446,5
141,Exercise 5,58,280.455236,7
142,Exercise 1,59,474.2340328,10
143,Exercise 8,45,184.4730934,4
144,Exercise 5,42,137.7745595,7
145,Exercise 3,31,414.4423123,3
146,Exercise 4,40,439.2877189,8
147,Exercise 1,28,152.3731861,3
148,Exercise 5,48,313.1435338,5
149,Exercise 9,32,376.4953334,5
150,Exercise 9,30,448.9890478,6
151,Exercise 9,20,293.0344535,1
152,Exercise 3,22,233.122857,8
153,Exercise 9,43,151.5991295,5
154,Exercise 1,23,246.0202278,7
155,Exercise 4,36,295.1513244,1
156,Exercise 9,25,119.6067548,5
157,Exercise 5,23,418.2618341,2
158,Exercise 9,51,419.7180341,6
159,Exercise 7,26,237.1214052,9
160,Exercise 4,55,488.9969371,3
161,Exercise 3,37,485.0860445,3
162,Exercise 9,56,185.5255732,7
163,Exercise 8,51,165.9993912,2
164,Exercise 7,55,312.9282633,3
165,Exercise 6,35,310.7992823,2
166,Exercise 2,26,194.9421322,4
167,Exercise 2,29,491.9044704,7
168,Exercise 10,30,334.6332176,10
169,Exercise 7,33,458.8810485,5
170,Exercise 2,56,221.3818281,8
171,Exercise 7,27,325.8452919,9
172,Exercise 5,55,271.7984607,3
173,Exercise 5,54,218.1117723,6
174,Exercise 5,31,372.581496,1
175,Exercise 6,54,479.8325592,2
176,Exercise 9,31,394.1783809,10
177,Exercise 2,21,444.2549306,3
178,Exercise 7,36,317.3206578,1
179,Exercise 4,33,294.440263,10
180,Exercise 9,40,336.160237,5
181,Exercise 8,24,179.1368748,6
182,Exercise 8,35,241.2112347,5
183,Exercise 10,30,468.6631805,8
184,Exercise 3,31,370.6934327,9
185,Exercise 5,29,235.4808427,3
186,Exercise 7,34,497.6911217,7
187,Exercise 7,45,461.5139356,10
188,Exercise 2,27,358.1260719,9
189,Exercise 2,35,420.185107,2
190,Exercise 10,43,247.3177278,4
191,Exercise 1,37,304.6376978,10
192,Exercise 5,25,485.9618233,4
193,Exercise 3,23,452.3517684,4
194,Exercise 5,47,430.4024765,7
195,Exercise 1,41,283.3606445,4
196,Exercise 2,34,212.742105,5
197,Exercise 7,47,497.8515018,2
198,Exercise 1,45,390.1075923,4
199,Exercise 1,21,214.5143714,10
200,Exercise 7,55,188.6152102,9
201,Exercise 5,58,122.6847362,7
202,Exercise 8,52,259.0072069,10
203,Exercise 9,32,258.7209122,1
204,Exercise 4,21,154.7629008,8
205,Exercise 2,42,282.6603086,4
206,Exercise 10,36,262.1380834,4
207,Exercise 6,23,489.7061081,1
208,Exercise 10,33,308.560274,8
209,Exercise 5,44,303.4398397,6
210,Exercise 9,42,242.4507635,5
211,Exercise 8,40,224.3531034,7
212,Exercise 1,34,387.9751554,2
213,Exercise 5,54,240.2690206,2
214,Exercise 5,34,324.107922,4
215,Exercise 4,50,126.1531014,10
216,Exercise 5,37,145.840523,2
217,Exercise 1,38,118.6470115,5
218,Exercise 8,35,279.5525288,9
219,Exercise 3,57,114.0978791,7
220,Exercise 3,29,323.1393326,10
221,Exercise 5,23,299.4536977,10
222,Exercise 3,53,433.6218435,6
223,Exercise 3,49,131.4758952,6
224,Exercise 3,26,238.3390773,6
225,Exercise 9,54,445.9066828,3
226,Exercise 2,34,250.6072627,1
227,Exercise 4,45,319.6223011,10
228,Exercise 5,41,191.1171928,9
229,Exercise 5,52,363.3425898,9
230,Exercise 3,39,222.4347461,5
231,Exercise 7,51,213.921272,6
232,Exercise 7,59,194.7017851,5
233,Exercise 6,60,254.4716117,2
234,Exercise 7,27,331.535759,10
235,Exercise 4,51,255.1511815,9
236,Exercise 8,48,168.4553504,6
237,Exercise 1,44,388.0302215,3
238,Exercise 7,36,327.7262024,7
239,Exercise 10,25,415.060294,6
240,Exercise 10,34,385.1856873,5
241,Exercise 2,45,181.9180309,7
242,Exercise 6,28,308.1344965,3
243,Exercise 6,53,417.0429093,3
244,Exercise 4,34,308.5380208,7
245,Exercise 3,29,403.6280814,4
246,Exercise 8,44,454.6685624,1
247,Exercise 4,25,286.4576245,4
248,Exercise 6,32,390.9885057,4
249,Exercise 10,58,310.270577,2
250,Exercise 1,45,362.8638865,9
251,Exercise 2,34,322.4907182,1
252,Exercise 2,54,441.4491581,2
253,Exercise 3,44,159.1317833,10
254,Exercise 5,54,493.7813433,6
255,Exercise 7,49,216.1592428,4
256,Exercise 5,28,326.532619,10
257,Exercise 7,44,455.2579295,7
258,Exercise 2,49,460.995065,8
259,Exercise 8,25,459.8698899,10
260,Exercise 7,22,440.2043132,8
261,Exercise 7,27,278.1967269,10
262,Exercise 6,53,161.6621582,3
263,Exercise 4,34,496.1194256,10
264,Exercise 2,26,312.1965692,1
265,Exercise 6,59,289.5039568,6
266,Exercise 8,39,451.3558735,2
267,Exercise 7,30,205.4822903,8
268,Exercise 4,58,228.9977038,7
269,Exercise 5,36,412.8717973,5
270,Exercise 1,60,125.3188633,9
271,Exercise 9,56,332.2157903,1
272,Exercise 1,24,170.3770551,8
273,Exercise 1,22,480.8794249,9
274,Exercise 7,55,458.836108,6
275,Exercise 2,20,152.0253587,4
276,Exercise 1,38,202.6962407,2
277,Exercise 6,25,340.7412607,8
278,Exercise 6,41,181.6505208,5
279,Exercise 4,56,296.237181,2
280,Exercise 1,27,414.0052653,10
281,Exercise 6,60,365.7079677,4
282,Exercise 4,28,348.0929836,8
283,Exercise 6,59,456.5835377,10
284,Exercise 9,22,215.5900112,1
285,Exercise 4,40,249.0236668,4
286,Exercise 9,40,278.6110562,1
287,Exercise 9,42,265.2251986,3
288,Exercise 2,20,455.903897,8
289,Exercise 1,42,422.8064437,3
290,Exercise 4,41,446.3728861,2
291,Exercise 10,31,428.4618685,10
292,Exercise 8,49,166.7512424,5
293,Exercise 1,57,160.8038414,1
294,Exercise 3,38,310.7268313,4
295,Exercise 10,56,184.5605075,6
296,Exercise 9,20,471.515755,10
297,Exercise 8,59,490.9832922,7
298,Exercise 7,35,216.548184,8
299,Exercise 2,37,330.849155,4
300,Exercise 3,22,339.3830995,1
301,Exercise 9,24,151.461179,10
302,Exercise 9,56,306.5809613,4
303,Exercise 8,46,254.7415239,6
304,Exercise 5,50,285.6125742,6
305,Exercise 4,53,413.4908856,6
306,Exercise 10,55,483.5791915,3
307,Exercise 4,35,405.6742994,2
308,Exercise 4,34,180.1020082,2
309,Exercise 5,42,491.1956175,5
310,Exercise 10,46,231.7764398,5
311,Exercise 4,52,120.2328577,3
312,Exercise 4,36,178.690855,6
313,Exercise 3,22,421.9922433,9
314,Exercise 5,50,231.7819505,6
315,Exercise 7,21,481.3714627,6
316,Exercise 2,57,248.6070358,7
317,Exercise 5,55,148.6082488,6
318,Exercise 1,42,401.2463231,7
319,Exercise 5,40,245.3714936,9
320,Exercise 8,53,142.8070474,4
321,Exercise 1,25,224.3930595,9
322,Exercise 8,20,466.0550527,10
323,Exercise 8,29,181.6099815,8
324,Exercise 3,44,305.3195624,8
325,Exercise 1,22,423.0853574,9
326,Exercise 6,30,399.9880015,5
327,Exercise 9,32,400.428286,6
328,Exercise 6,35,458.8880881,8
329,Exercise 7,59,329.3561362,7
330,Exercise 10,21,261.2450959,10
331,Exercise 10,45,158.1545606,7
332,Exercise 1,24,123.0468662,8
333,Exercise 2,38,494.2516457,4
334,Exercise 1,34,184.3670115,5
335,Exercise 9,41,411.6674071,7
336,Exercise 3,28,355.2367304,8
337,Exercise 8,43,403.5083872,4
338,Exercise 9,43,300.5238837,10
339,Exercise 4,34,216.4842087,1
340,Exercise 10,60,288.0463141,10
341,Exercise 3,33,247.0820312,4
342,Exercise 3,38,136.3502737,8
343,Exercise 8,41,450.0478028,4
344,Exercise 5,22,204.9536094,4
345,Exercise 7,34,184.6779309,5
346,Exercise 8,25,208.9533031,3
347,Exercise 3,37,187.1126847,2
348,Exercise 3,55,463.0966938,4
349,Exercise 9,24,298.5443919,7
350,Exercise 7,60,489.1441813,10
351,Exercise 1,59,115.8031822,3
352,Exercise 6,32,260.8174077,5
353,Exercise 2,59,410.8112718,10
354,Exercise 7,49,419.2784609,7
355,Exercise 2,45,113.1786548,3
356,Exercise 4,38,291.7262097,1
357,Exercise 7,45,254.0620735,10
358,Exercise 4,53,180.535173,8
359,Exercise 6,43,456.4332913,2
360,Exercise 7,52,469.0207909,10
361,Exercise 3,50,247.1174833,1
362,Exercise 5,34,147.2493424,6
363,Exercise 9,35,187.5142295,5
364,Exercise 10,26,168.3402704,4
365,Exercise 3,49,240.6076274,4
366,Exercise 7,27,296.3476865,3
367,Exercise 3,44,324.8394184,7
368,Exercise 1,58,349.9257365,4
369,Exercise 1,59,408.2691002,5
370,Exercise 3,60,468.2812717,1
371,Exercise 8,35,216.1510908,8
372,Exercise 8,21,287.3193103,4
373,Exercise 7,50,144.6462718,2
374,Exercise 7,55,234.385722,6
375,Exercise 7,55,134.2520968,5
376,Exercise 3,24,477.9962144,8
377,Exercise 6,34,288.9131064,3
378,Exercise 7,48,158.1282137,1
379,Exercise 1,56,235.9513724,4
380,Exercise 2,43,459.9240829,2
381,Exercise 1,20,118.7328617,5
382,Exercise 4,57,201.3066614,2
383,Exercise 3,44,369.0942459,6
384,Exercise 9,34,451.2216375,5
385,Exercise 10,23,426.8229159,4
386,Exercise 5,46,366.9700625,5
387,Exercise 3,31,316.071905,4
388,Exercise 7,55,274.9951649,2
389,Exercise 3,32,347.6299577,2
390,Exercise 2,29,387.15983,9
391,Exercise 4,27,280.2025657,10
392,Exercise 6,21,214.0563329,9
393,Exercise 3,32,285.3950804,3
394,Exercise 9,44,215.7590068,9
395,Exercise 4,31,207.7196189,10
396,Exercise 7,37,271.0046608,8
397,Exercise 1,56,253.0751371,10
398,Exercise 7,40,190.3247056,5
399,Exercise 8,48,492.430158,7
400,Exercise 1,26,192.0501081,1
401,Exercise 6,32,208.2925551,6
402,Exercise 7,35,477.6755303,7
403,Exercise 3,43,205.1652999,4
404,Exercise 4,52,170.0462889,8
405,Exercise 9,32,178.4252134,6
406,Exercise 4,24,252.2319844,7
407,Exercise 4,43,340.5840371,1
408,Exercise 1,24,127.425054,7
409,Exercise 6,21,107.3080578,10
410,Exercise 8,44,475.29051,6
411,Exercise 10,53,497.927929,4
412,Exercise 9,58,340.5581323,3
413,Exercise 4,55,456.4650424,9
414,Exercise 5,46,167.3702841,2
415,Exercise 10,20,454.4133889,4
416,Exercise 5,45,237.0676596,10
417,Exercise 9,23,393.6860283,2
418,Exercise 2,51,319.5863841,10
419,Exercise 4,50,120.4914923,7
420,Exercise 4,54,136.5715819,3
421,Exercise 6,48,158.8514844,1
422,Exercise 10,26,374.7373633,6
423,Exercise 4,60,322.9729779,5
424,Exercise 2,27,368.0326813,1
425,Exercise 10,26,358.3466383,8
426,Exercise 4,54,160.9690713,6
427,Exercise 4,28,433.3784083,6
428,Exercise 4,31,416.4097674,4
429,Exercise 10,20,464.8525488,3
430,Exercise 8,30,455.2976662,8
431,Exercise 2,33,208.5658383,2
432,Exercise 8,56,406.3145746,2
433,Exercise 4,27,353.6219754,1
434,Exercise 9,40,387.8853538,1
435,Exercise 7,58,414.1461206,9
436,Exercise 6,35,188.3104409,3
437,Exercise 4,59,490.264163,6
438,Exercise 6,57,375.5726389,8
439,Exercise 9,35,317.5683017,1
440,Exercise 1,33,172.7404259,4
441,Exercise 2,31,424.5709976,7
442,Exercise 3,23,494.110048,7
443,Exercise 5,41,235.5968701,7
444,Exercise 8,58,464.249638,4
445,Exercise 6,29,151.9028056,2
446,Exercise 8,34,231.8466207,10
447,Exercise 6,20,211.5690332,7
448,Exercise 9,60,432.5814861,5
449,Exercise 1,39,185.6912255,9
450,Exercise 3,53,130.6716919,1
451,Exercise 9,34,405.7350129,5
452,Exercise 1,35,429.2259457,10
453,Exercise 2,20,457.7859377,3
454,Exercise 7,33,234.6971393,9
455,Exercise 4,59,325.583073,7
456,Exercise 6,56,485.9187709,7
457,Exercise 4,29,356.1919797,10
458,Exercise 8,34,205.3105086,6
459,Exercise 4,37,402.8856762,6
460,Exercise 8,59,117.4860917,7
461,Exercise 6,48,286.0712716,9
462,Exercise 1,56,356.008851,5
463,Exercise 4,33,443.5633539,9
464,Exercise 8,22,284.6317117,5
465,Exercise 2,31,230.8768453,7
466,Exercise 2,40,174.2992364,3
467,Exercise 3,29,267.3769996,5
468,Exercise 1,35,286.1914351,4
469,Exercise 5,35,234.0054001,4
470,Exercise 5,26,362.3959666,5
471,Exercise 5,37,239.320521,1
472,Exercise 9,49,210.2778187,7
473,Exercise 8,56,293.207588,8
474,Exercise 8,59,244.3192902,2
475,Exercise 1,32,403.7854978,10
476,Exercise 8,53,369.5554399,1
477,Exercise 1,54,393.9093282,7
478,Exercise 1,43,176.0152056,3
479,Exercise 5,48,365.064624,6
480,Exercise 1,58,237.0104572,5
481,Exercise 5,44,448.1459669,2
482,Exercise 3,31,421.7743341,7
483,Exercise 1,23,112.4696283,1
484,Exercise 6,20,497.4458291,4
485,Exercise 10,49,118.1249583,9
486,Exercise 3,39,389.2848722,4
487,Exercise 4,44,183.8333267,2
488,Exercise 5,22,460.3334213,2
489,Exercise 5,60,322.2219591,10
490,Exercise 5,40,324.0535777,8
491,Exercise 1,46,319.0717729,1
492,Exercise 7,52,272.1037386,10
493,Exercise 8,58,345.0829471,10
494,Exercise 9,33,340.6127521,3
495,Exercise 1,22,170.4308566,4
496,Exercise 5,38,257.008504,1
497,Exercise 2,36,190.6263787,8
498,Exercise 8,33,187.0339816,3
499,Exercise 1,56,314.1332223,2
500,Exercise 4,24,468.1328403,4
501,Exercise 10,36,404.9578894,8
502,Exercise 5,52,418.8612354,8
503,Exercise 5,51,197.2051516,7
504,Exercise 8,57,278.726369,10
505,Exercise 8,23,127.7115905,1
506,Exercise 3,57,410.539158,5
507,Exercise 8,32,182.6056498,7
508,Exercise 3,30,131.3426149,8
509,Exercise 10,37,463.417436,8
510,Exercise 3,54,471.5948003,9
511,Exercise 4,39,257.1698498,8
512,Exercise 10,20,339.9604748,5
513,Exercise 9,28,244.0539757,1
514,Exercise 8,55,257.5737804,6
515,Exercise 7,38,273.2742054,2
516,Exercise 5,36,352.6037483,5
517,Exercise 9,40,173.2961994,7
518,Exercise 1,43,129.7115151,8
519,Exercise 8,26,127.3315282,10
520,Exercise 10,32,261.7598554,9
521,Exercise 3,38,471.9837407,2
522,Exercise 10,47,459.6147362,7
523,Exercise 9,41,393.4636436,2
524,Exercise 5,25,101.9456791,7
525,Exercise 3,56,409.108234,8
526,Exercise 10,56,341.1224165,6
527,Exercise 2,41,378.2517597,6
528,Exercise 10,41,159.8061431,2
529,Exercise 10,38,129.2620494,4
530,Exercise 8,44,107.9959272,8
531,Exercise 5,56,496.0086544,7
532,Exercise 6,52,187.2563534,3
533,Exercise 10,36,368.3936582,8
534,Exercise 1,51,183.7913774,8
535,Exercise 1,54,306.0503365,7
536,Exercise 4,37,265.3289125,6
537,Exercise 9,21,431.6148496,3
538,Exercise 10,43,496.7950935,2
539,Exercise 10,33,436.2065549,8
540,Exercise 5,33,328.7430989,1
541,Exercise 9,47,104.5275351,10
542,Exercise 2,56,456.356002,8
543,Exercise 2,28,183.0805073,9
544,Exercise 7,60,259.7044384,6
545,Exercise 3,51,305.7963564,7
546,Exercise 9,42,475.6462773,3
547,Exercise 4,59,277.5152065,3
548,Exercise 8,56,233.3755865,8
549,Exercise 7,59,412.9835672,4
550,Exercise 7,24,261.7210024,4
551,Exercise 2,24,248.1474431,6
552,Exercise 4,56,160.1302124,1
553,Exercise 2,40,463.8339627,4
554,Exercise 2,53,138.6453662,1
555,Exercise 8,22,123.4365622,10
556,Exercise 10,31,218.6866969,9
557,Exercise 5,22,248.9448197,10
558,Exercise 9,45,271.5022227,5
559,Exercise 4,40,342.1363484,2
560,Exercise 10,47,390.6000338,4
561,Exercise 7,22,297.5506098,1
562,Exercise 4,48,301.09828,6
563,Exercise 4,33,273.8540031,2
564,Exercise 6,28,441.5993911,5
565,Exercise 6,30,249.9648609,1
566,Exercise 1,34,427.5970686,8
567,Exercise 8,26,199.8486339,7
568,Exercise 8,54,208.2976469,10
569,Exercise 1,33,496.5307403,10
570,Exercise 9,30,173.1337536,6
571,Exercise 1,59,351.436715,1
572,Exercise 4,47,444.539486,9
573,Exercise 3,22,485.5292029,8
574,Exercise 4,38,229.3349966,1
575,Exercise 9,42,415.8832712,9
576,Exercise 8,23,307.8165088,3
577,Exercise 8,31,443.9359189,2
578,Exercise 10,41,291.7868938,6
579,Exercise 7,45,394.3712058,4
580,Exercise 1,57,270.9413785,7
581,Exercise 7,54,280.462558,9
582,Exercise 9,38,461.165023,4
583,Exercise 2,56,366.6164127,6
584,Exercise 1,21,258.5768409,3
585,Exercise 3,58,358.9394395,3
586,Exercise 8,56,338.9693345,2
587,Exercise 8,40,134.6387889,4
588,Exercise 3,49,418.9604363,6
589,Exercise 9,27,196.2587191,9
590,Exercise 7,55,156.5221355,7
591,Exercise 7,60,313.1700696,8
592,Exercise 2,58,485.1610645,1
593,Exercise 1,37,227.1652651,7
594,Exercise 1,47,413.1440996,6
595,Exercise 6,20,487.4544519,8
596,Exercise 5,37,197.7266191,10
597,Exercise 5,38,406.2170982,4
598,Exercise 2,58,396.2769424,9
599,Exercise 2,55,275.3862652,4
600,Exercise 5,22,194.0064618,9
601,Exercise 7,35,160.2910292,8
602,Exercise 6,46,406.7678732,3
603,Exercise 5,44,392.5873554,3
604,Exercise 2,38,479.347641,5
605,Exercise 5,56,348.1014776,1
606,Exercise 6,27,222.3616463,8
607,Exercise 3,38,155.2710119,3
608,Exercise 5,47,473.7248772,2
609,Exercise 6,58,457.6141243,7
610,Exercise 1,34,445.6552717,4
611,Exercise 5,42,242.3973997,6
612,Exercise 9,49,179.5913281,8
613,Exercise 1,31,208.1112056,2
614,Exercise 8,30,461.2211577,10
615,Exercise 7,33,388.0816449,4
616,Exercise 2,34,120.0435369,5
617,Exercise 3,28,467.3351155,9
618,Exercise 6,58,220.7655037,5
619,Exercise 8,45,456.3488269,1
620,Exercise 10,35,277.9297144,2
621,Exercise 6,41,136.1870591,3
622,Exercise 3,59,285.9950891,8
623,Exercise 5,47,337.9455217,5
624,Exercise 2,54,302.1526105,9
625,Exercise 3,34,176.6063354,4
626,Exercise 7,57,435.4859438,2
627,Exercise 5,20,275.7359378,4
628,Exercise 1,54,295.7742984,9
629,Exercise 2,43,488.2116763,5
630,Exercise 4,27,294.684948,4
631,Exercise 9,33,430.4799263,10
632,Exercise 4,54,417.2725346,10
633,Exercise 1,56,155.5391732,10
634,Exercise 8,26,357.0550679,10
635,Exercise 1,55,330.039779,9
636,Exercise 3,33,481.4752927,3
637,Exercise 3,48,165.4901266,9
638,Exercise 6,37,429.9462911,2
639,Exercise 9,57,149.6297614,5
640,Exercise 1,42,490.6705774,9
641,Exercise 2,30,343.1199338,8
642,Exercise 3,49,196.6262674,5
643,Exercise 7,51,386.4257478,9
644,Exercise 1,56,152.2425792,7
645,Exercise 5,36,368.3674191,2
646,Exercise 5,32,476.9980336,2
647,Exercise 4,39,209.3801683,9
648,Exercise 7,31,312.2388838,9
649,Exercise 8,28,367.6615904,4
650,Exercise 6,22,401.4889825,4
651,Exercise 1,53,346.4060753,10
652,Exercise 3,45,442.4770175,7
653,Exercise 2,56,216.8162508,7
654,Exercise 4,28,296.0790753,9
655,Exercise 6,53,309.285072,3
656,Exercise 3,47,494.4202607,9
657,Exercise 5,48,393.9742021,10
658,Exercise 10,24,198.9756699,9
659,Exercise 6,52,156.8540686,6
660,Exercise 10,42,368.9004735,8
661,Exercise 9,29,182.2605262,9
662,Exercise 6,44,446.9897784,2
663,Exercise 7,29,366.2249759,8
664,Exercise 4,32,345.1738141,8
665,Exercise 5,33,340.303388,5
666,Exercise 8,33,106.4433503,8
667,Exercise 3,26,479.4611205,5
668,Exercise 8,50,108.6442605,2
669,Exercise 10,36,268.6979237,7
670,Exercise 3,60,215.0907995,4
671,Exercise 3,20,354.0319982,7
672,Exercise 2,52,451.5578498,4
673,Exercise 7,42,397.469511,8
674,Exercise 5,55,373.3599113,5
675,Exercise 2,23,296.7307886,7
676,Exercise 1,47,331.1035708,7
677,Exercise 3,46,489.5289243,9
678,Exercise 10,25,299.9417953,5
679,Exercise 9,56,453.2201934,1
680,Exercise 1,33,494.8621471,6
681,Exercise 6,33,119.8779034,9
682,Exercise 3,21,369.2815314,7
683,Exercise 8,47,393.1365623,2
684,Exercise 9,29,448.5944132,6
685,Exercise 7,26,457.7535505,1
686,Exercise 2,34,273.0366021,6
687,Exercise 10,53,102.8454435,7
688,Exercise 9,60,102.6676832,10
689,Exercise 3,36,132.4905861,6
690,Exercise 7,44,475.0789018,9
691,Exercise 4,39,218.4345121,8
692,Exercise 2,36,433.9225755,3
693,Exercise 3,37,350.4933108,4
694,Exercise 9,53,386.643238,6
695,Exercise 1,44,377.6529715,2
696,Exercise 6,45,456.7539929,4
697,Exercise 10,41,312.188039,1
698,Exercise 3,26,401.876739,3
699,Exercise 1,20,389.1195405,10
700,Exercise 2,46,334.9984846,10
701,Exercise 8,36,323.4321065,8
702,Exercise 2,39,446.3133391,1
703,Exercise 8,49,232.9297726,2
704,Exercise 6,48,167.2888192,4
705,Exercise 5,30,219.8190816,7
706,Exercise 7,20,299.8234759,6
707,Exercise 9,36,301.410042,6
708,Exercise 8,59,148.2437634,4
709,Exercise 10,51,343.9640531,4
710,Exercise 9,24,221.4891477,1
711,Exercise 10,41,162.3562277,1
712,Exercise 9,56,189.9550455,2
713,Exercise 1,44,313.720441,7
714,Exercise 1,37,432.9879844,7
715,Exercise 7,41,113.4311512,7
716,Exercise 2,21,224.5541446,9
717,Exercise 3,39,260.3474969,10
718,Exercise 1,37,490.5096969,9
719,Exercise 9,22,113.4890864,2
720,Exercise 8,22,238.7047849,1
721,Exercise 3,30,116.9130543,8
722,Exercise 1,31,494.2712336,5
723,Exercise 1,48,405.6150029,1
724,Exercise 7,24,415.7631086,1
725,Exercise 6,27,443.1748657,5
726,Exercise 8,60,246.4314737,7
727,Exercise 5,38,245.2748082,8
728,Exercise 10,38,124.3632992,10
729,Exercise 10,58,328.5830945,3
730,Exercise 8,25,283.4187201,8
731,Exercise 2,28,259.6367696,3
732,Exercise 2,35,342.8877113,3
733,Exercise 4,21,472.427866,1
734,Exercise 4,23,243.8344686,3
735,Exercise 2,26,123.631147,4
736,Exercise 1,21,473.6423932,7
737,Exercise 4,45,435.3131376,4
738,Exercise 5,26,390.4958228,8
